vbat,battery_percent
876,100
875,100
873,100
872,100
871,100
870,100
869,100
868,100
867,100
866,100
865,100
864,100
863,100
862,100
861,100
860,100
859,100
858,100
857,100
856,100
855,100
854,100
853,100
852,100
851,100
850,99
849,99
848,98
847,98
846,98
845,97
844,97
843,96
842,96
841,96
840,95
839,95
838,94
837,94
836,93
835,93
834,93
833,92
832,92
831,91
830,91
829,90
828,90
827,89
826,89
825,88
824,88
823,87
822,87
821,86
820,86
819,85
818,85
817,85
816,84
815,84
814,83
813,83
812,82
811,82
810,81
809,81
808,80
807,80
806,79
805,79
804,79
803,78
802,78
801,77
800,77
799,76
798,76
797,75
796,75
795,74
794,74
793,74
792,73
791,73
790,72
789,72
788,71
787,71
786,70
785,70
784,69
783,69
782,68
781,68
780,67
779,67
778,66
777,66
776,65
775,65
774,64
773,64
772,63
771,63
770,62
769,62
768,61
767,60
766,60
765,59
764,59
763,58
762,57
761,57
760,56
759,55
758,54
757,54
756,53
755,52
754,51
753,50
752,49
751,48
750,47
749,46
748,45
747,44
746,43
745,42
744,41
743,40
742,38
741,37
740,36
739,34
738,33
737,32
736,31
735,30
734,28
733,27
732,26
731,25
730,24
729,23
728,23
727,22
726,21
725,20
724,19
723,19
722,18
721,17
720,16
719,16
718,15
717,14
716,14
715,13
714,13
713,12
712,11
711,11
710,10
709,9
708,9
707,8
706,8
705,7
704,7
703,6
702,6
701,6
700,5
699,5
698,5
697,5
696,4
695,4
694,4
693,4
692,4
691,4
690,4
689,3
688,3
687,3
686,3
685,3
684,3
683,3
682,3
681,3
680,3
679,2
678,2
677,2
676,2
675,2
674,2
673,2
672,2
671,2
670,2
669,2
668,2
667,2
666,2
665,2
664,1
663,1
662,1
661,1
660,1
659,1
658,1
657,1
656,1
655,1
654,1
653,1
652,1
651,1
650,1
649,1
648,1
647,1
646,1
645,1
644,1
643,1
642,1
641,1
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,0
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,0
622,0
621,0
620,0